areaName,Borough,areaType,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sheepshead Bay,Brooklyn,neighborhood,370066,355305,375336,377983,383050,404649,478831,510154,510273,547531,609743,679363,563996,567957,442500
Soho,Manhattan,neighborhood,1972126,2079886,2224318,2522554,2736667,2625600,3002383,2498270,2371244,2515644,2048318,2208957,2747167,3071745,0
Soundview,Bronx,neighborhood,343175,343739,341270,343721,368734,360380,404646,414616,457759,504164,498045,590228,630208,632852,712500
South Brooklyn,Brooklyn,submarket,440822,439899,460277,464304,494608,534950,584190,627501,645568,667473,698337,780479,784737,785052,787500
South Jamaica,Queens,neighborhood,263987,257624,275082,284625,280402,334178,371896,389774,466473,474196,515617,569458,615479,606980,570837
South Ozone Park,Queens,neighborhood,327967,335255,341945,367125,393231,425229,443000,493501,522249,559694,594378,671741,684896,681138,758000
South Queens,Queens,submarket,330191,319604,329701,342592,369058,394500,431814,461023,504806,530730,569511,632689,666695,652250,683250
South Richmond Hill,Queens,neighborhood,353329,328960,350925,358104,405523,430343,469125,497709,569666,603792,614360,668333,695646,716409,650000
Springfield Gardens,Queens,neighborhood,338928,318101,312923,339515,345785,390913,415292,435396,489884,501356,596542,613208,651243,648932,690000
St. Albans,Queens,neighborhood,309382,285586,299206,318160,341685,356894,379206,418205,469131,489694,545811,594592,635351,613905,642544
Staten Island,Staten Island,borough,381370,367171,374597,376504,389539,400993,428664,479634,515183,515271,537633,589979,629000,626367,477900
Stuyvesant Town/PCV,Manhattan,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunnyside,Queens,neighborhood,249044,295534,308030,281774,344813,327286,356524,423241,497067,523236,498364,550907,490318,429253,440000
Sunset Park,Brooklyn,neighborhood,484309,564621,589194,536733,719583,771888,871042,912917,1006375,901938,891006,912263,996390,995634,1056250
The Rockaways,Queens,submarket,330796,350923,398953,334129,345182,384650,391816,436754,462667,464884,510598,598505,674100,635843,656401
Throgs Neck,Bronx,neighborhood,352169,350080,352111,350801,369706,382100,409000,443650,474618,504401,510036,600700,618462,593292,662500
Tremont,Bronx,neighborhood,0,0,0,0,0,0,537500,0,0,0,0,0,0,0,0
Tribeca,Manhattan,neighborhood,2048775,2279433,2262634,2512038,2496575,3300165,4111440,4268679,4403870,3322655,3216131,3277188,3421046,3400536,3262500
University Heights,Bronx,neighborhood,0,0,125000,0,0,255000,124750,155625,289144,399600,293000,537500,560000,0,0
Upper East Side,Manhattan,neighborhood,930375,909708,922709,930789,998533,1065638,1125418,1125185,1154329,1131671,1053417,1106121,1185917,1205312,897500
